City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,11.770000000000039,65,0,1.81,CL,1680529667
1,punta arenas,-53.15,-70.9167,10.010000000000048,66,40,5.14,CL,1680529730
2,bluff,-46.6,168.3333,13.050000000000011,81,97,6.08,NZ,1680529749
3,ushuaia,-54.8,-68.3,13.810000000000002,41,0,6.69,AR,1680529749
4,ust-kuyga,70.0167,135.6,-10.529999999999973,97,100,3.36,RU,1680530333
5,raton,36.9034,-104.4391,7.340000000000032,23,0,4.12,US,1680530333
6,lowestoft,52.4752,1.7516,12.260000000000048,65,3,5.62,GB,1680530334
7,lavrentiya,65.5833,-171.0,-15.629999999999995,97,100,2.23,RU,1680530334
8,tommot,58.9564,126.2925,-8.599999999999966,95,100,2.9,RU,1680529752
9,denpasar,-8.65,115.2167,26.810000000000002,94,40,1.03,ID,1680529752
10,ribeira grande,38.5167,-28.7,17.220000000000027,63,20,5.81,PT,1680529752
11,saint george,37.1041,-113.5841,15.330000000000041,43,0,0.45,US,1680529752
12,ponta do sol,32.6667,-17.1,23.350000000000023,72,4,2.9,PT,1680529753
13,mehamn,71.0357,27.8492,-1.0299999999999727,64,40,14.4,NO,1680529753
14,cape town,-33.9258,18.4232,22.840000000000032,59,40,3.13,ZA,1680529736
15,chuy,-33.6971,-53.4616,16.700000000000045,86,100,1.06,UY,1680529754
16,sao felix do xingu,-6.6447,-51.995,22.77000000000004,95,100,0.68,BR,1680529754
17,dikson,73.5069,80.5464,-29.059999999999974,100,68,3.01,RU,1680529754
18,amuntai,-2.4177,115.2494,24.08000000000004,96,100,0.51,ID,1680529754
19,cherskiy,68.75,161.3,-29.099999999999966,95,41,3.32,RU,1680530055
20,narsaq,60.9167,-46.05,2.7800000000000296,86,100,2.85,GL,1680530335
21,albany,42.6001,-73.9662,5.650000000000034,34,61,0.89,US,1680530121
22,lebu,-37.6167,-73.65,13.689999999999998,68,0,6.6,CL,1680530335
23,lagoa,39.05,-27.9833,14.439999999999998,66,86,4.75,PT,1680530335
24,mataura,-46.1927,168.8643,10.260000000000048,77,95,0.58,NZ,1680530335
25,comodoro rivadavia,-45.8667,-67.5,14.920000000000016,41,0,8.23,AR,1680530336
26,necochea,-38.5473,-58.7368,19.450000000000045,50,91,2.08,AR,1680530336
27,nemuro,43.3236,145.575,1.2900000000000205,67,0,1.84,JP,1680530336
28,rognan,67.0953,15.3878,3.3600000000000136,91,99,3.22,NO,1680530336
29,butaritari,3.0707,172.7902,27.78000000000003,79,75,7.06,KI,1680530336
30,vaini,-21.2,-175.2,22.090000000000032,94,20,0.51,TO,1680530336
31,saint-philippe,-21.3585,55.7679,25.77000000000004,82,100,2.22,RE,1680530336
32,solwezi,-12.1688,26.3894,21.920000000000016,84,95,2.46,ZM,1680530336
33,thompson,55.7435,-97.8558,-22.909999999999968,77,100,3.09,CA,1680530209
34,busselton,-33.65,115.3333,14.920000000000016,87,0,4.25,AU,1680530337
35,provideniya,64.3833,-173.3,-12.739999999999952,97,99,2.02,RU,1680530337
36,riyadh,24.6877,46.7219,26.08000000000004,8,0,4.49,SA,1680530157
37,victoria,22.2855,114.1577,22.33000000000004,94,98,0.89,HK,1680530092
38,tuktoyaktuk,69.4541,-133.0374,-23.99999999999997,77,75,2.06,CA,1680530337
39,machakos,-1.5167,37.2667,22.210000000000036,60,65,3.71,KE,1680530337
40,alofi,-19.0595,-169.9187,23.939999999999998,100,75,3.09,NU,1680530337
41,tonantins,-2.8731,-67.8022,24.170000000000016,94,100,0.28,BR,1680530337
42,port alfred,-33.5906,26.891,21.77000000000004,77,86,4.02,ZA,1680530337
43,kodiak,57.79,-152.4072,-0.2699999999999818,80,100,0.0,US,1680530338
44,souillac,-20.5167,57.5167,29.210000000000036,70,20,4.12,MU,1680530338
45,neuquen,-38.9516,-68.0591,11.939999999999998,62,0,2.57,AR,1680530183
46,clyde river,70.4692,-68.5914,-25.869999999999976,76,0,4.12,CA,1680530338
47,arraial do cabo,-22.9661,-42.0278,26.980000000000018,65,0,4.63,BR,1680530143
48,barrow,71.2906,-156.7887,-13.989999999999952,78,100,5.14,US,1680530338
49,saldanha,-33.0117,17.9442,23.03000000000003,78,58,4.95,ZA,1680530338
50,kamiiso,41.8167,140.65,6.840000000000032,72,0,0.9,JP,1680530339
